year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2011,600,Papayas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,1774.37,2.5,44.36,5.8,100.34,144.7,101.8,187.1,144.7
2012,116,Potatoes,Vegetables,87316.5,14.2,12398.94,8.7,6517.83,18916.8,13468.3,24171.1,296527.28,2.5,7413.18,5.8,16768.62,24181.8,17017.5,31268.6,43098.5
2012,122,Sweet potatoes,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,5898.22,2.5,147.46,5.8,333.54,481.0,338.5,621.9,481.0
2012,358,Cabbages,Vegetables,6602.0,14.2,937.48,8.7,492.81,1430.3,1018.3,1827.6,33720.42,2.5,843.01,5.8,1906.89,2749.9,1935.2,3555.8,4180.2
2012,367,Asparagus,Vegetables,168.0,14.2,23.86,8.7,12.54,36.4,25.9,46.5,3381.97,2.5,84.55,5.8,191.25,275.8,194.1,356.6,312.2
2012,372,Lettuce and chicory,Vegetables,5208.0,14.2,739.54,8.7,388.76,1128.3,803.3,1441.7,43283.87,2.5,1082.1,5.8,2447.7,3529.8,2484.0,4564.2,4658.0
2012,373,Spinach,Vegetables,801.0,14.2,113.74,8.7,59.79,173.5,123.6,221.7,3648.07,2.5,91.2,5.8,206.3,297.5,209.4,384.7,471.1
2012,388,Tomatoes,Vegetables,61979.5,14.2,8801.09,8.7,4626.52,13427.6,9560.1,17157.3,127498.47,2.5,3187.46,5.8,7210.04,10397.5,7317.1,13444.7,23825.1
2012,393,Cauliflowers and broccoli,Vegetables,2900.0,14.2,411.8,8.7,216.47,628.3,447.3,802.8,18309.01,2.5,457.73,5.8,1035.37,1493.1,1050.8,1930.7,2121.4
2012,394,"Pumpkins, squash and gourds",Vegetables,17159.0,14.2,2436.58,8.7,1280.85,3717.4,2646.7,4750.0,17393.01,2.5,434.83,5.8,983.57,1418.4,998.2,1834.1,5135.9
2012,397,Cucumbers and gherkins,Greenhouse Veg,22691.9,14.2,3222.25,8.7,1693.86,4916.1,3500.1,6281.6,19898.22,2.5,497.46,5.8,1125.24,1622.7,1142.0,2098.3,6538.8
2012,399,Eggplants (aubergines),Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2565.3,2.5,64.13,5.8,145.07,209.2,147.2,270.5,209.2
2012,401,Chillies and peppers,Vegetables,36092.3,14.2,5125.11,8.7,2694.15,7819.2,5567.1,9991.1,22690.37,2.5,567.26,5.8,1283.14,1850.4,1302.2,2392.7,9669.7
2012,403,Onions,Vegetables,5224.0,14.2,741.81,8.7,389.95,1131.8,805.8,1446.1,42350.71,2.5,1058.77,5.8,2394.93,3453.7,2430.5,4465.8,4585.4
2012,406,Green garlic,Vegetables,273.0,14.2,38.77,8.7,20.38,59.1,42.1,75.6,2566.52,2.5,64.16,5.8,145.14,209.3,147.3,270.6,268.4
2012,407,Leeks and other alliaceous vegetables,Other Storable,218.0,14.2,30.96,8.7,16.27,47.2,33.6,60.3,1183.32,2.5,29.58,5.8,66.92,96.5,67.9,124.7,143.7
2012,414,Green beans,Other Perishable,3959.0,14.2,562.18,8.7,295.52,857.7,610.7,1095.9,7641.94,2.5,191.05,5.8,432.15,623.2,438.6,805.8,1480.9
2012,417,"Peas, green",Vegetables,2061.0,14.2,292.66,8.7,153.85,446.5,317.9,570.5,7054.57,2.5,176.36,5.8,398.94,575.3,404.9,743.9,1021.8
2012,426,Carrots and turnips,Vegetables,8873.0,14.2,1259.97,8.7,662.33,1922.3,1368.6,2456.2,35194.36,2.5,879.86,5.8,1990.24,2870.1,2019.8,3711.2,4792.4
2012,446,Sweet corn,Other Perishable,7966.0,14.2,1131.17,8.7,594.63,1725.8,1228.7,2205.2,9796.44,2.5,244.91,5.8,553.99,798.9,562.2,1033.0,2524.7
2012,449,Mushrooms and truffles,Other Perishable,46300.2,14.2,6574.63,8.7,3456.12,10030.8,7141.7,12816.9,13711.83,2.5,342.8,5.8,775.4,1118.2,786.9,1445.9,11148.9
2012,486,Bananas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,65675.05,2.5,1641.88,5.8,3713.92,5355.8,3769.0,6925.4,5355.8
2012,490,Oranges,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,37369.71,2.5,934.24,5.8,2113.26,3047.5,2144.6,3940.7,3047.5
2012,495,"Tangerines, mandarins, clementines",Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,17133.05,2.5,428.33,5.8,968.87,1397.2,983.2,1806.6,1397.2
2012,497,Lemons and limes,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,12683.02,2.5,317.08,5.8,717.22,1034.3,727.9,1337.5,1034.3
2012,515,Apples,Fruits,101821.0,14.2,14458.58,8.7,7600.53,22059.1,15705.5,28186.3,82221.95,2.5,2055.55,5.8,4649.65,6705.2,4718.7,8670.3,28764.3
2012,521,Pears,Fruits,6020.0,14.2,854.84,8.7,449.37,1304.2,928.6,1666.5,10129.98,2.5,253.25,5.8,572.85,826.1,581.3,1068.1,2130.3
2012,526,Apricots,Tree Fruit,647.0,14.2,91.87,8.7,48.3,140.2,99.8,179.1,583.69,2.5,14.59,5.8,33.01,47.6,33.5,61.5,187.7
2012,531,Cherries,Fruits,16179.0,14.2,2297.42,8.7,1207.7,3505.1,2495.6,4478.7,5597.79,2.5,139.94,5.8,316.56,456.5,321.3,590.3,3961.6
2012,534,Peaches and nectarines,Fruits,6382.0,14.2,906.24,8.7,476.39,1382.6,984.4,1766.7,8896.38,2.5,222.41,5.8,503.09,725.5,510.6,938.1,2108.2
2012,536,Plums and sloes,Fruits,1389.0,14.2,197.24,8.7,103.68,300.9,214.2,384.5,6351.93,2.5,158.8,5.8,359.2,518.0,364.5,669.8,818.9
2012,544,Strawberries,Fruits,1609.0,14.2,228.48,8.7,120.11,348.6,248.2,445.4,18126.3,2.5,453.16,5.8,1025.04,1478.2,1040.3,1911.4,1826.8
2012,547,Raspberries,Fruits,10353.0,14.2,1470.13,8.7,772.81,2242.9,1596.9,2865.9,6280.81,2.5,157.02,5.8,355.18,512.2,360.5,662.3,2755.1
2012,552,Blueberries and cranberries,Fruits,90508.0,14.2,12852.14,8.7,6756.06,19608.2,13960.5,25054.6,14394.85,2.5,359.87,5.8,814.03,1173.9,826.1,1517.9,20782.1
2012,560,Grapes,Fruits,26624.0,14.2,3780.61,8.7,1987.37,5768.0,4106.7,7370.1,24857.14,2.5,621.43,5.8,1405.67,2027.1,1426.5,2621.2,7795.1
2012,567,Watermelons,Fruits,130.0,14.2,18.46,8.7,9.7,28.2,20.1,36.0,28056.41,2.5,701.41,5.8,1586.59,2288.0,1610.1,2958.5,2316.1
2012,568,Cantaloupes and other melons,Fruits,953.0,14.2,135.33,8.7,71.14,206.5,147.0,263.8,19092.58,2.5,477.31,5.8,1079.69,1557.0,1095.7,2013.3,1763.5
2012,572,Avocados,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,6164.32,2.5,154.11,5.8,348.59,502.7,353.8,650.0,502.7
2012,574,Pineapples,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,19362.35,2.5,484.06,5.8,1094.94,1579.0,1111.2,2041.8,1579.0
2012,592,Kiwi fruit,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2865.73,2.5,71.64,5.8,162.06,233.7,164.5,302.2,233.7
2012,600,Papayas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,1849.17,2.5,46.23,5.8,104.57,150.8,106.1,195.0,150.8
2013,116,Potatoes,Vegetables,77473.5,14.2,11001.24,8.7,5783.09,16784.3,11950.0,21446.4,299032.5,2.5,7475.81,5.8,16910.29,24386.1,17161.3,31532.9,41170.4
2013,122,Sweet potatoes,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,5812.39,2.5,145.31,5.8,328.69,474.0,333.6,613.0,474.0
2013,358,Cabbages,Vegetables,8767.0,14.2,1244.91,8.7,654.42,1899.3,1352.3,2426.9,35063.15,2.5,876.58,5.8,1982.82,2859.4,2012.2,3697.3,4758.7
2013,367,Asparagus,Vegetables,153.0,14.2,21.73,8.7,11.42,33.1,23.6,42.4,3227.47,2.5,80.69,5.8,182.51,263.2,185.2,340.3,296.3
2013,372,Lettuce and chicory,Vegetables,5933.0,14.2,842.49,8.7,442.87,1285.4,915.1,1642.4,42074.8,2.5,1051.87,5.8,2379.33,3431.2,2414.7,4436.8,4716.6
2013,373,Spinach,Vegetables,696.0,14.2,98.83,8.7,51.95,150.8,107.4,192.7,4089.52,2.5,102.24,5.8,231.26,333.5,234.7,431.2,484.3
2013,388,Tomatoes,Vegetables,64845.5,14.2,9208.06,8.7,4840.46,14048.5,10002.2,17950.6,122478.23,2.5,3061.96,5.8,6926.14,9988.1,7029.0,12915.3,24036.6
2013,393,Cauliflowers and broccoli,Vegetables,2317.0,14.2,329.01,8.7,172.96,502.0,357.4,641.4,18080.93,2.5,452.02,5.8,1022.48,1474.5,1037.6,1906.6,1976.4
2013,394,"Pumpkins, squash and gourds",Vegetables,16110.0,14.2,2287.62,8.7,1202.55,3490.2,2484.9,4459.6,16391.17,2.5,409.78,5.8,926.92,1336.7,940.7,1728.4,4826.8
2013,397,Cucumbers and gherkins,Greenhouse Veg,26433.1,14.2,3753.5,8.7,1973.13,5726.6,4077.2,7317.3,22636.42,2.5,565.91,5.8,1280.09,1846.0,1299.1,2387.0,7572.6
2013,399,Eggplants (aubergines),Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2838.75,2.5,70.97,5.8,160.53,231.5,162.9,299.4,231.5
2013,401,Chillies and peppers,Vegetables,44194.3,14.2,6275.59,8.7,3298.93,9574.5,6816.8,12233.9,28889.03,2.5,722.23,5.8,1633.67,2355.9,1657.9,3046.4,11930.4
